"Symbol","Security","Sector","SubIndustry","Industry"
"MMM","3M","Industrials","Industrial Conglomerates","Industrial Conglomerates"
"AOS","A. O. Smith","Industrials","Building Products","Building Products"
"ABT","Abbott Laboratories","Health Care","Health Care Equipment","Health Care Equipment"
"ABBV","AbbVie","Health Care","Biotechnology","Biotechnology"
"ACN","Accenture","Information Technology","IT Consulting & Other Services","IT Consulting & Other Services"
"ADBE","Adobe Inc.","Information Technology","Application Software","Application Software"
"AMD","Advanced Micro Devices","Information Technology","Semiconductors","Semiconductors"
"AES","AES Corporation","Utilities","Independent Power Producers & Energy Traders","Independent Power Producers & Energy Traders"
"AFL","Aflac","Financials","Life & Health Insurance","Life & Health Insurance"
"A","Agilent Technologies","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services"
"APD","Air Products","Materials","Industrial Gases","Industrial Gases"
"ABNB","Airbnb","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Hotels, Resorts & Cruise Lines"
"AKAM","Akamai Technologies","Information Technology","Internet Services & Infrastructure","Internet Services & Infrastructure"
"ALB","Albemarle Corporation","Materials","Specialty Chemicals","Specialty Chemicals"
"ARE","Alexandria Real Estate Equities","Real Estate","Office REITs","Office REITs"
"ALGN","Align Technology","Health Care","Health Care Supplies","Health Care Supplies"
"ALLE","Allegion","Industrials","Building Products","Building Products"
"LNT","Alliant Energy","Utilities","Electric Utilities","Electric Utilities"
"ALL","Allstate","Financials","Property & Casualty Insurance","Property & Casualty Insurance"
"GOOGL","Alphabet Inc. (Class A)","Communication Services","Interactive Media & Services","Interactive Media & Services"
"GOOG","Alphabet Inc. (Class C)","Communication Services","Interactive Media & Services","Interactive Media & Services"
"MO","Altria","Consumer Staples","Tobacco","Tobacco"
"AMZN","Amazon","Consumer Discretionary","Broadline Retail","Broadline Retail"
"AMCR","Amcor","Materials","Paper & Plastic Packaging Products & Materials","Paper & Plastic Packaging Products & Materials"
"AEE","Ameren","Utilities","Multi-Utilities","Multi-Utilities"
"AEP","American Electric Power","Utilities","Electric Utilities","Electric Utilities"
"AXP","American Express","Financials","Consumer Finance","Consumer Finance"
"AIG","American International Group","Financials","Multi-line Insurance","Multi-line Insurance"
"AMT","American Tower","Real Estate","Telecom Tower REITs","Telecom Tower REITs"
"AWK","American Water Works","Utilities","Water Utilities","Water Utilities"
"AMP","Ameriprise Financial","Financials","Asset Management & Custody Banks","Asset Management & Custody Banks"
"AME","Ametek","Industrials","Electrical Components & Equipment","Electrical Components & Equipment"
"AMGN","Amgen","Health Care","Biotechnology","Biotechnology"
"APH","Amphenol","Information Technology","Electronic Components","Electronic Components"
"ADI","Analog Devices","Information Technology","Semiconductors","Semiconductors"
"AON","Aon plc","Financials","Insurance Brokers","Insurance Brokers"
"APA","APA Corporation","Energy","Oil & Gas Exploration & Production","Oil & Gas Exploration & Production"
"APP","AppLovin","Information Technology","Application Software","Application Software"
"APO","Apollo Global Management","Financials","Asset Management & Custody Banks","Asset Management & Custody Banks"
"AAPL","Apple Inc.","Information Technology","Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
"AMAT","Applied Materials","Information Technology","Semiconductor Materials & Equipment","Semiconductor Materials & Equipment"
"APTV","Aptiv","Consumer Discretionary","Automotive Parts & Equipment","Automotive Parts & Equipment"
"ACGL","Arch Capital Group","Financials","Property & Casualty Insurance","Property & Casualty Insurance"
"ADM","Archer Daniels Midland","Consumer Staples","Agricultural Products & Services","Agricultural Products & Services"
"ANET","Arista Networks","Information Technology","Communications Equipment","Communications Equipment"
"AJG","Arthur J. Gallagher & Co.","Financials","Insurance Brokers","Insurance Brokers"
